1113,"Most Poles are officially Catholic (they were baptised), but it does not mean most of them are crazy devout. It is still more conservative society than most in Western Europe, but most people attend the church only for weddings, funerals and holidays like Christmas, support and use birth control, have sex out of marriage and living together before getting married is extremely common and doesn't raise many eyebrows. We also have gay clubs and gay culture in bigger cities, although there is still a lot of prejudice against LGBT people."
1583,"There have been cases of gay couples that could not get married where one has adopted the other so that legal rights (inheritance, life/death decisions, etc.) are given to the partner. It was usually in terminal cases and I find it very sad."
655,"It's reactionary. Some people treat these cases as special because others treat it as evil and discriminate about it. Not giving a shit is the end goal, but if one party doesn't give a shit whilst the others discriminates and spreads hate, nothing is going to change. Nobody gives a shit about interracial marriage now because there isn't still a mass movement against it. When discrimination against gay or transgender people stops as well, people will stop giving a shit about stuff like that too."
1288,"Flood our (Australian) Prime Minister with letters; thanking him for filling the internet with his special brand of [explicit gay porngraphy] (http://media.tumblr.com/2e7b7de2349defe21aa74ee7d446da5e/tumblr_inline_mst7hcwlV31qz4rgp.jpg) (He is against gay marriage as it is a sin), offering him fancy yachts and cars in exchange for his ['not bad looking daugthers'] (http://www.telegraph.co.uk/women/womens-politics/10313055/Why-some-Australian-women-loathe-Tony-Abbott-especially-now.html) (He thought he should be voted to lead our country because of his daughters's comely appearance)"
601,I think you should tell Dan that he can't come to the wedding. He uses hate speech and clearly is sympathetic to his father's position regarding homosexuals. Your own sister is gay! How can you in good conscious marry someone like that? What if you have a child who is gay? How will his father treat him or her and allow others to treat him or her?
550,"Houston has had an openly lesbian mayor for 5 years. I live just outside of San Antonio and the only people I've heard voice an anti gay marriage opinion are old people, and they weren't even harsh about it. They're always like ""All have sinned and fallen short of the glory of God and we love them, like Jesus teaches, but..."""
1355,"I definitely don't see this happening as there's too much manipulation and abuse surrounding polygamy. It's typically associated with cultish behavior, there is no societal benefit to it, and you aren't ostracizing a portion of the population from state provided benefits by keeping it illegal. It'd be extremely surprising if it were to ever gain enough support to make changes like gay marriage did."
310,"There is only one correct answer. My mind did first think acceptance of gay people/gay marriage would be shocking, but I think they'd get over it. What I think they'd never understand is air travel and security. Air travel is nothing like it was in the 90s and security lines, with the removing of your shoes, not being a able to go to the cockpit, etc would seem out of some Sci Fi book."
1767,"I am in the camp who believes marriage equality is a constitutional right; thus, it cannot and should not be deferred to the states."
806,"Definitely not. We're still incredibly conservative when it comes to Same Sex Marriage, drugs, road laws, treatment of indigenous Australians, and a whole host of other things. I love it here, but we have a lot of things that we can do better."
450,Oh Libertarians can be some of the biggest hypocrites. I remember during the whole gay marriage debate so many Libertarians would twist and turn to defend their stance against gay marriage (and some still do to this day).
713,"By their own twisted logic, a straight person should have had to recuse himself as well. After all, it is their stance that gay marriage is a threat to all marriage, meaning a straight person would have had something to ""gain"" from the outcome of the case as well."
